step: 0, loss: 5.493987, acc: 0.113500
step: 100, loss: 1.745850, acc: 0.379700
step: 200, loss: 1.646546, acc: 0.413200
step: 300, loss: 1.607263, acc: 0.430300
step: 400, loss: 1.585667, acc: 0.439500
step: 500, loss: 1.526071, acc: 0.459300
step: 600, loss: 1.520891, acc: 0.463500
step: 700, loss: 1.502065, acc: 0.467700
step: 800, loss: 1.492733, acc: 0.474600
step: 900, loss: 1.486444, acc: 0.476500
step: 1000, loss: 1.461190, acc: 0.475600
step: 1100, loss: 1.482719, acc: 0.481300
step: 1200, loss: 1.460137, acc: 0.486800
step: 1300, loss: 1.464261, acc: 0.488100
step: 1400, loss: 1.452132, acc: 0.496000
step: 1500, loss: 1.439588, acc: 0.497300
step: 1600, loss: 1.455009, acc: 0.490900
step: 1700, loss: 1.451095, acc: 0.492300
step: 1800, loss: 1.443216, acc: 0.500500
step: 1900, loss: 1.454251, acc: 0.494300
step: 2000, loss: 1.454481, acc: 0.498100
step: 2100, loss: 1.455262, acc: 0.497600
step: 2200, loss: 1.463389, acc: 0.489300
